"","occasionyear","FieldPeriodID","avg_invert"
"1",1987,7,5.08906934646667
"2",1990,12,2.6524428182
"3",1996,21,5.50450219233333
"4",1997,22,6.34906043033333
"5",1998,23,5.83789656866667
"6",1998,25,3.40909704426667
"7",1999,26,1.51550549603333
"8",1999,28,5.15521640586667
"9",2003,30,3.65308711307692
"10",2004,34,3.1884100425
"11",2005,35,5.85391449014286
"12",2005,37,3.84936357792857
"13",2006,75,3.14873123264286
"14",2007,77,2.69293973207143
"15",2007,82,2.00111878428571
"16",2008,85,1.83148956078571
"17",2008,87,2.59212595028571
"18",2009,90,3.28909595685714
"19",2009,92,4.5509424385
"20",2010,103,2.94367555457143
"21",2010,104,3.4374523775
"22",2011,105,9.22112790171429
"23",2011,110,2.5821760215
"24",2012,116,4.47840260407143
"25",2013,118,4.09578878607143
"26",2013,122,3.25588827135714
"27",2014,124,6.32106875521429
"28",2014,125,4.45790002828571
"29",2015,139,3.03440265878571
"30",2015,142,4.85534727157143
"31",2016,144,2.282467264
"32",2016,159,4.21428620221429
"33",2017,161,2.4927094615
"34",2017,164,11.6117696285
"35",2018,166,5.90194399471429
"36",2018,167,3.42862364764286
"37",2019,171,2.98437240835714
"38",2019,173,4.917540181
"39",2020,174,2.58767040242857
"40",2021,175,5.32664501235714
"41",2021,176,4.46788579221429
"42",2022,177,4.20351862385714
"43",2022,178,3.1593320765
